model,RMSE,MAE,MAPE,sMAPE,RMSE_improvement_vs_strongest_benchmark_%
SARIMAX,381.5649742320819,215.61206795302314,33.265513086386925,30.031110064275158,12.6
XGBoost,395.85864431068916,254.6447711217971,44.47287148760349,35.10126517283257,9.3
Mean,436.3378747883086,296.07122892302044,53.5726127606764,46.0038910003214,0.0
SeasonalNaive_Weekly,474.7010337344668,254.58333333333334,37.13838951484934,32.50401545058567,-8.8
SeasonalNaive_Daily,510.7015482927102,288.57142857142856,43.77333865164239,35.54878364858543,-17.0
Naive,660.2578861251686,512.0238095238095,113.35709353009615,65.41941021757053,-51.3
Drift,662.0684329808562,513.5747783106899,113.76117707513585,65.53000580687977,-51.7
